ride_month,station,lat,long,ride_count
1,Clinton St & Centre St,40.67434,-74.00194698,74
1,Clinton St & Grand St,40.71559509,-73.9870295,1578
1,Clinton St & Joralemon St,40.69239502,-73.99337909,1157
1,Clinton St & Tillary St,40.696192,-73.991218,584
1,Clinton St & Union St,40.6831164,-73.99785267,392
1,Coffey St & Conover St,40.677236,-74.015665,142
1,Columbia Heights & Cranberry St,40.70037867,-73.99548059,223
1,Columbia St & Degraw St,40.6859296,-74.00242364,380
1,Columbia St & Kane St,40.68763155,-74.0016256,360
1,Columbia St & Lorraine St,40.6747055,-74.0075572,68
1,Columbia St & Rivington St,40.71739973,-73.98016555,1166
1,Columbia St & W 9 St,40.6769993,-74.00647134,46
1,Columbus Ave & W 103 St,40.7969347,-73.9643412291,246
1,Columbus Ave & W 72 St,40.7770575,-73.97898475,2257
1,Columbus Ave & W 95 St,40.7919557,-73.968087,819
1,Commerce St & Van Brunt St,40.6812117,-74.00860912,134
1,Concord St & Bridge St,40.69766564,-73.98476437,355
1,Congress St & Clinton St,40.6881529,-73.99520919,526
1,Cooper Square & E 7 St,40.729236499100061,-73.990868031978607,3711
1,Court St & Nelson St,40.6763947,-73.99869893,400
1,Court St & State St,40.6902375,-73.99203074,1030
1,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,554
1,DeKalb Ave & Hudson Ave,40.689888,-73.981013,906
1,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,493
1,DeKalb Ave & Skillman St,40.6906495,-73.95643107,249
1,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,554
1,Dean St & 4 Ave,40.68312489,-73.97895137,911
1,Dean St & Hoyt St,40.6864442,-73.98759104,222
1,Degraw St & Hoyt St,40.681990442707026,-73.990790247917175,274
1,Degraw St & Smith St,40.6829151,-73.99318208,337
1,Division Ave & Hooper St,40.70691254,-73.95441667,222
1,Division Ave & Marcy Ave,40.70708701,-73.95796783,85
1,Division St & Bowery,40.71413089,-73.9970468,1549
1,Douglass St & 3 Ave,40.6802133,-73.98432695,494
